palabra,muestras,longitud_chars,suficiente
los,19430,3,si
del,16916,3,si
que,16108,3,si
por,14036,3,si
una,13232,3,si
las,13082,3,si
con,12746,3,si
fue,10775,3,si
como,8267,4,si
para,7463,4,si
más,6040,3,si
sus,5735,3,si
dos,4967,3,si
son,4783,3,si
este,4256,4,si
esta,4146,4,si
está,4022,4,si
tres,3263,4,si
tiene,3015,5,si
era,2934,3,si
sin,2780,3,si
uno,2756,3,si
muy,2554,3,si
pero,2465,4,si
encuentra,2351,9,si
durante,2327,7,si
ser,2255,3,si
entre,2158,5,si
parte,2107,5,si
cuatro,2088,6,si
ciudad,2009,6,si
fueron,1972,6,si
hay,1871,3,si
sobre,1854,5,si
desde,1831,5,si
además,1800,6,si
años,1791,4,si
seis,1666,4,si
puede,1656,5,si
actualmente,1620,11,si
siete,1612,5,si
nombre,1578,6,si
todo,1570,4,si
embargo,1537,7,si
ocho,1526,4,si
cinco,1510,5,si
año,1495,3,si
esto,1485,4,si
cuando,1472,6,si
gran,1469,4,si
nueve,1454,5,si
sido,1439,4,si
primera,1421,7,si
hasta,1407,5,si
mismo,1381,5,si
todos,1347,5,si
ese,1316,3,si
estos,1301,5,si
forma,1288,5,si
universidad,1287,11,si
primer,1270,6,si
cada,1263,4,si
han,1253,3,si
otros,1223,5,si
donde,1222,5,si
tiempo,1216,6,si
entonces,1134,8,si
están,1115,5,si
vida,1111,4,si
ella,1107,4,si
así,1092,3,si
estas,1078,5,si
mayor,1073,5,si
hey,1064,3,si
varios,1061,6,si
san,1058,3,si
bien,1016,4,si
luego,1008,5,si
vez,1008,3,si
algunos,992,7,no
tuvo,956,4,no
tras,951,4,no
lugar,945,5,no
pueden,943,6,no
nacional,941,8,no
tarde,931,5,no
familia,924,7,no
cero,920,4,no
estaba,918,6,no
equipo,912,6,no
hijo,903,4,no
tanto,901,5,no
tienen,894,6,no
color,893,5,no
varias,893,6,no
nueva,884,5,no
nació,879,5,no
historia,878,8,no
estado,869,6,no
grupo,860,5,no
día,856,3,no
padre,854,5,no
había,849,5,no
mundo,847,5,no
muchos,836,6,no
guerra,834,6,no
solo,831,4,no
cuenta,817,6,no
principal,816,9,no
carrera,799,7,no
centro,799,6,no
otras,789,5,no
allí,784,4,no
poco,777,4,no
club,768,4,no
obra,765,4,no
antes,763,5,no
