palabra,muestras,longitud,seleccionada,motivo_exclusion,metrica_exclusion,umbral_exclusion,similar_a,similitud_fonetica,f1_preliminar
actualmente,1620,11,si,,,,,,
además,1800,6,si,,,,,,
cinco,1510,5,si,,,,,,
ciudad,2009,6,si,,,,,,
cuando,1472,6,si,,,,,,
cuatro,2088,6,si,,,,,,
desde,1831,5,si,,,,,,
donde,1222,5,si,,,,,,
durante,2327,7,si,,,,,,
embargo,1537,7,si,,,,,,
encuentra,2351,9,si,,,,,,
entonces,1134,8,si,,,,,,
entre,2158,5,si,,,,,,
estas,1078,5,si,,,,,,
estos,1301,5,si,,,,,,
están,1115,5,si,,,,,,
forma,1288,5,si,,,,,,
fueron,1972,6,si,,,,,,
hasta,1407,5,si,,,,,,
luego,1008,5,si,,,,,,
mayor,1073,5,si,,,,,,
mismo,1381,5,si,,,,,,
nombre,1578,6,si,,,,,,
nueve,1454,5,si,,,,,,
otros,1223,5,si,,,,,,
parte,2107,5,si,,,,,,
primera,1421,7,si,,,,,,
puede,1656,5,si,,,,,,
siete,1612,5,si,,,,,,
sobre,1854,5,si,,,,,,
tiempo,1216,6,si,,,,,,
tiene,3015,5,si,,,,,,
todos,1347,5,si,,,,,,
universidad,1287,11,si,,,,,,
varios,1061,6,si,,,,,,
aang,5,4,no,frecuencia_insuficiente,5.0,1000.0,,,
aaron,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
abad,21,4,no,frecuencia_insuficiente,21.0,1000.0,,,
abadesa,47,7,no,frecuencia_insuficiente,47.0,1000.0,,,
abadía,28,6,no,frecuencia_insuficiente,28.0,1000.0,,,
abajo,138,5,no,frecuencia_insuficiente,138.0,1000.0,,,
abanderado,6,10,no,frecuencia_insuficiente,6.0,1000.0,,,
abandona,31,8,no,frecuencia_insuficiente,31.0,1000.0,,,
abandonada,32,10,no,frecuencia_insuficiente,32.0,1000.0,,,
abandonadas,20,11,no,frecuencia_insuficiente,20.0,1000.0,,,
abandonado,44,10,no,frecuencia_insuficiente,44.0,1000.0,,,
abandonados,7,11,no,frecuencia_insuficiente,7.0,1000.0,,,
abandonan,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
abandonando,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
abandonar,63,9,no,frecuencia_insuficiente,63.0,1000.0,,,
abandonaron,21,11,no,frecuencia_insuficiente,21.0,1000.0,,,
abandonaría,5,11,no,frecuencia_insuficiente,5.0,1000.0,,,
abandone,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
abandonen,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
abandono,37,8,no,frecuencia_insuficiente,37.0,1000.0,,,
abandonó,95,8,no,frecuencia_insuficiente,95.0,1000.0,,,
abanico,9,7,no,frecuencia_insuficiente,9.0,1000.0,,,
abanicos,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
abarca,97,6,no,frecuencia_insuficiente,97.0,1000.0,,,
abarcaba,20,8,no,frecuencia_insuficiente,20.0,1000.0,,,
abarcan,16,7,no,frecuencia_insuficiente,16.0,1000.0,,,
abarcar,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
abarcó,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
abastecimiento,8,14,no,frecuencia_insuficiente,8.0,1000.0,,,
abatido,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
abbey,6,5,no,frecuencia_insuficiente,6.0,1000.0,,,
abbott,5,6,no,frecuencia_insuficiente,5.0,1000.0,,,
abd,5,3,no,frecuencia_insuficiente,5.0,1000.0,,,
abdomen,23,7,no,frecuencia_insuficiente,23.0,1000.0,,,
abdominal,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
abdul,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
abdullah,2,8,no,frecuencia_insuficiente,2.0,1000.0,,,
abe,4,3,no,frecuencia_insuficiente,4.0,1000.0,,,
abedul,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
abeja,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
abejas,24,6,no,frecuencia_insuficiente,24.0,1000.0,,,
abel,9,4,no,frecuencia_insuficiente,9.0,1000.0,,,
abertura,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
aberturas,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
abetos,5,6,no,frecuencia_insuficiente,5.0,1000.0,,,
abierta,92,7,no,frecuencia_insuficiente,92.0,1000.0,,,
abiertamente,23,12,no,frecuencia_insuficiente,23.0,1000.0,,,
abiertas,45,8,no,frecuencia_insuficiente,45.0,1000.0,,,
abierto,129,7,no,frecuencia_insuficiente,129.0,1000.0,,,
abiertos,50,8,no,frecuencia_insuficiente,50.0,1000.0,,,
abigail,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
abismo,16,6,no,frecuencia_insuficiente,16.0,1000.0,,,
abjasia,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
abofeteara,7,10,no,frecuencia_insuficiente,7.0,1000.0,,,
aboga,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
abogacía,13,8,no,frecuencia_insuficiente,13.0,1000.0,,,
abogada,13,7,no,frecuencia_insuficiente,13.0,1000.0,,,
abogado,167,7,no,frecuencia_insuficiente,167.0,1000.0,,,
abogados,17,8,no,frecuencia_insuficiente,17.0,1000.0,,,
abogó,3,5,no,frecuencia_insuficiente,3.0,1000.0,,,
abolengo,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
abolición,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
abolió,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
abominable,4,10,no,frecuencia_insuficiente,4.0,1000.0,,,
abona,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
aborda,7,6,no,frecuencia_insuficiente,7.0,1000.0,,,
abordaje,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
abordando,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
abordar,13,7,no,frecuencia_insuficiente,13.0,1000.0,,,
aborigen,14,8,no,frecuencia_insuficiente,14.0,1000.0,,,
aborrecer,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
aborrecidas,3,11,no,frecuencia_insuficiente,3.0,1000.0,,,
aborto,24,6,no,frecuencia_insuficiente,24.0,1000.0,,,
aborígenes,13,10,no,frecuencia_insuficiente,13.0,1000.0,,,
about,4,5,no,frecuencia_insuficiente,4.0,1000.0,,,
abovedada,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
abovedado,5,9,no,frecuencia_insuficiente,5.0,1000.0,,,
abra,8,4,no,frecuencia_insuficiente,8.0,1000.0,,,
abraham,15,7,no,frecuencia_insuficiente,15.0,1000.0,,,
abrams,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
abrasador,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
abrazarme,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
abrazo,17,6,no,frecuencia_insuficiente,17.0,1000.0,,,
abrazos,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
abrazó,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
abre,70,4,no,frecuencia_insuficiente,70.0,1000.0,,,
abren,27,5,no,frecuencia_insuficiente,27.0,1000.0,,,
abreu,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
abrevadero,6,10,no,frecuencia_insuficiente,6.0,1000.0,,,
abreviada,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
abreviatura,7,11,no,frecuencia_insuficiente,7.0,1000.0,,,
abriendo,12,8,no,frecuencia_insuficiente,12.0,1000.0,,,
abrieron,20,8,no,frecuencia_insuficiente,20.0,1000.0,,,
abrigarse,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
abrigo,14,6,no,frecuencia_insuficiente,14.0,1000.0,,,
abrigos,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
abril,100,5,no,frecuencia_insuficiente,100.0,1000.0,,,
abrir,66,5,no,frecuencia_insuficiente,66.0,1000.0,,,
abrirlo,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
abrirse,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
abrió,67,5,no,frecuencia_insuficiente,67.0,1000.0,,,
abrióse,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
abrumadora,5,10,no,frecuencia_insuficiente,5.0,1000.0,,,
abrupta,6,7,no,frecuencia_insuficiente,6.0,1000.0,,,
abruptamente,9,12,no,frecuencia_insuficiente,9.0,1000.0,,,
abruptos,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
abrí,3,4,no,frecuencia_insuficiente,3.0,1000.0,,,
abría,4,5,no,frecuencia_insuficiente,4.0,1000.0,,,
abrían,7,6,no,frecuencia_insuficiente,7.0,1000.0,,,
absoluta,31,8,no,frecuencia_insuficiente,31.0,1000.0,,,
absolutamente,6,13,no,frecuencia_insuficiente,6.0,1000.0,,,
absoluto,55,8,no,frecuencia_insuficiente,55.0,1000.0,,,
absolver,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
absolverme,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
absorben,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
absorber,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
absorbida,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
absorbido,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
absorción,11,9,no,frecuencia_insuficiente,11.0,1000.0,,,
abstracciones,5,13,no,frecuencia_insuficiente,5.0,1000.0,,,
abstracción,8,11,no,frecuencia_insuficiente,8.0,1000.0,,,
abstracta,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
abstractas,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
abstracto,9,9,no,frecuencia_insuficiente,9.0,1000.0,,,
absuelto,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
absurdo,15,7,no,frecuencia_insuficiente,15.0,1000.0,,,
abu,14,3,no,frecuencia_insuficiente,14.0,1000.0,,,
abuela,48,6,no,frecuencia_insuficiente,48.0,1000.0,,,
abuelas,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
abuelo,80,6,no,frecuencia_insuficiente,80.0,1000.0,,,
abuelos,34,7,no,frecuencia_insuficiente,34.0,1000.0,,,
abultada,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
abunda,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
abundan,26,7,no,frecuencia_insuficiente,26.0,1000.0,,,
abundancia,23,10,no,frecuencia_insuficiente,23.0,1000.0,,,
abundante,57,9,no,frecuencia_insuficiente,57.0,1000.0,,,
abundantes,49,10,no,frecuencia_insuficiente,49.0,1000.0,,,
aburrido,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
aburridos,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
abuso,9,5,no,frecuencia_insuficiente,9.0,1000.0,,,
abusos,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
acaba,111,5,no,frecuencia_insuficiente,111.0,1000.0,,,
acababa,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
acabada,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
acabado,25,7,no,frecuencia_insuficiente,25.0,1000.0,,,
acabados,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
acaban,37,6,no,frecuencia_insuficiente,37.0,1000.0,,,
acabar,55,6,no,frecuencia_insuficiente,55.0,1000.0,,,
acabaron,17,8,no,frecuencia_insuficiente,17.0,1000.0,,,
acabará,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
acabarás,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
acabaría,11,8,no,frecuencia_insuficiente,11.0,1000.0,,,
acabas,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
acabe,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
acabes,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
acabo,24,5,no,frecuencia_insuficiente,24.0,1000.0,,,
acabó,90,5,no,frecuencia_insuficiente,90.0,1000.0,,,
academia,217,8,no,frecuencia_insuficiente,217.0,1000.0,,,
academias,11,9,no,frecuencia_insuficiente,11.0,1000.0,,,
academy,22,7,no,frecuencia_insuficiente,22.0,1000.0,,,
acampada,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
acampar,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
acantilado,10,10,no,frecuencia_insuficiente,10.0,1000.0,,,
acantilados,20,11,no,frecuencia_insuficiente,20.0,1000.0,,,
acapulco,9,8,no,frecuencia_insuficiente,9.0,1000.0,,,
acariciadoras,6,13,no,frecuencia_insuficiente,6.0,1000.0,,,
acarició,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
acaso,32,5,no,frecuencia_insuficiente,32.0,1000.0,,,
acatando,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
accede,31,6,no,frecuencia_insuficiente,31.0,1000.0,,,
acceden,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
acceder,48,7,no,frecuencia_insuficiente,48.0,1000.0,,,
accedió,12,7,no,frecuencia_insuficiente,12.0,1000.0,,,
accesibilidad,5,13,no,frecuencia_insuficiente,5.0,1000.0,,,
accesible,28,9,no,frecuencia_insuficiente,28.0,1000.0,,,
accesibles,7,10,no,frecuencia_insuficiente,7.0,1000.0,,,
acceso,176,6,no,frecuencia_insuficiente,176.0,1000.0,,,
accesorios,10,10,no,frecuencia_insuficiente,10.0,1000.0,,,
accesos,22,7,no,frecuencia_insuficiente,22.0,1000.0,,,
accidentada,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
accidentado,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
accidental,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
accidentalmente,7,15,no,frecuencia_insuficiente,7.0,1000.0,,,
accidente,113,9,no,frecuencia_insuficiente,113.0,1000.0,,,
accidentes,30,10,no,frecuencia_insuficiente,30.0,1000.0,,,
acciones,71,8,no,frecuencia_insuficiente,71.0,1000.0,,,
accionista,8,10,no,frecuencia_insuficiente,8.0,1000.0,,,
accionistas,5,11,no,frecuencia_insuficiente,5.0,1000.0,,,
acción,203,6,no,frecuencia_insuficiente,203.0,1000.0,,,
ace,4,3,no,frecuencia_insuficiente,4.0,1000.0,,,
acechaban,5,9,no,frecuencia_insuficiente,5.0,1000.0,,,
aceite,60,6,no,frecuencia_insuficiente,60.0,1000.0,,,
aceites,16,7,no,frecuencia_insuficiente,16.0,1000.0,,,
aceituna,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
aceitunas,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
aceitunita,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
acelera,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
aceleración,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
acelerar,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
aceleró,6,7,no,frecuencia_insuficiente,6.0,1000.0,,,
acento,14,6,no,frecuencia_insuficiente,14.0,1000.0,,,
acentos,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
acepciones,2,10,no,frecuencia_insuficiente,2.0,1000.0,,,
acepta,48,6,no,frecuencia_insuficiente,48.0,1000.0,,,
aceptable,8,9,no,frecuencia_insuficiente,8.0,1000.0,,,
aceptación,29,10,no,frecuencia_insuficiente,29.0,1000.0,,,
aceptada,23,8,no,frecuencia_insuficiente,23.0,1000.0,,,
aceptadas,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
aceptado,23,8,no,frecuencia_insuficiente,23.0,1000.0,,,
aceptados,2,9,no,frecuencia_insuficiente,2.0,1000.0,,,
aceptan,11,7,no,frecuencia_insuficiente,11.0,1000.0,,,
aceptar,23,7,no,frecuencia_insuficiente,23.0,1000.0,,,
aceptaron,16,9,no,frecuencia_insuficiente,16.0,1000.0,,,
aceptó,61,6,no,frecuencia_insuficiente,61.0,1000.0,,,
acequias,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
acera,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
acerca,115,6,no,frecuencia_insuficiente,115.0,1000.0,,,
acercaba,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
