clase_real,clase_predicha,n_errores,porcentaje_del_real
estos,estas,24,12.0
estas,estos,18,9.0
estas,están,17,8.5
están,estas,15,7.5
cuatro,otros,8,4.0
nombre,donde,8,4.0
entre,desde,7,3.5
tiempo,cinco,7,3.5
otros,desde,6,3.0
otros,estos,6,3.0
fueron,forma,5,2.5
hasta,están,5,2.5
mayor,varios,5,2.5
otros,todos,5,2.5
cuando,donde,4,2.0
cuatro,cuando,4,2.0
cuatro,parte,4,2.0
desde,donde,4,2.0
forma,además,4,2.0
luego,todos,4,2.0
mayor,otros,4,2.0
otros,cuatro,4,2.0
puede,desde,4,2.0
tiempo,mismo,4,2.0
todos,fueron,4,2.0
todos,otros,4,2.0
varios,puede,4,2.0
cinco,tiempo,3,1.5
durante,entonces,3,1.5
encuentra,estas,3,1.5
entre,otros,3,1.5
estas,hasta,3,1.5
estos,están,3,1.5
estos,otros,3,1.5
están,hasta,3,1.5
fueron,sobre,3,1.5
hasta,entre,3,1.5
hasta,parte,3,1.5
mismo,luego,3,1.5
nueve,puede,3,1.5
primera,tiene,3,1.5
puede,cuando,3,1.5
puede,donde,3,1.5
sobre,todos,3,1.5
tiene,ciudad,3,1.5
tiene,desde,3,1.5
tiene,siete,3,1.5
varios,donde,3,1.5
varios,mayor,3,1.5
varios,nueve,3,1.5
cinco,mismo,2,1.0
cinco,siete,2,1.0
ciudad,durante,2,1.0
ciudad,estas,2,1.0
ciudad,forma,2,1.0
ciudad,tiene,2,1.0
cuando,cuatro,2,1.0
cuando,embargo,2,1.0
cuando,fueron,2,1.0
cuando,puede,2,1.0
cuatro,durante,2,1.0
cuatro,encuentra,2,1.0
desde,entre,2,1.0
desde,estas,2,1.0
donde,todos,2,1.0
donde,varios,2,1.0
durante,parte,2,1.0
entonces,donde,2,1.0
entonces,estos,2,1.0
entonces,otros,2,1.0
estos,hasta,2,1.0
están,estos,2,1.0
están,varios,2,1.0
fueron,puede,2,1.0
hasta,estas,2,1.0
luego,nueve,2,1.0
luego,puede,2,1.0
mayor,desde,2,1.0
mayor,donde,2,1.0
mismo,estas,2,1.0
mismo,universidad,2,1.0
nombre,entre,2,1.0
nombre,nueve,2,1.0
nueve,desde,2,1.0
nueve,luego,2,1.0
nueve,mayor,2,1.0
nueve,varios,2,1.0
otros,sobre,2,1.0
parte,hasta,2,1.0
primera,además,2,1.0
primera,ciudad,2,1.0
primera,donde,2,1.0
puede,fueron,2,1.0
siete,cinco,2,1.0
siete,desde,2,1.0
sobre,donde,2,1.0
tiempo,siete,2,1.0
tiene,entre,2,1.0
tiene,nombre,2,1.0
tiene,otros,2,1.0
