palabra,precision,recall,f1,support,categoria
actualmente,0.995,1.0,0.9975,200,excelente
además,0.9659,0.99,0.9778,200,excelente
cinco,0.9461,0.965,0.9554,200,excelente
ciudad,0.9497,0.945,0.9474,200,excelente
cuando,0.9391,0.925,0.932,200,excelente
cuatro,0.9459,0.875,0.9091,200,excelente
desde,0.8356,0.94,0.8847,200,excelente
donde,0.8507,0.94,0.8931,200,excelente
durante,0.9502,0.955,0.9526,200,excelente
embargo,0.9752,0.985,0.9801,200,excelente
encuentra,0.965,0.965,0.965,200,excelente
entonces,0.96,0.96,0.96,200,excelente
entre,0.9391,0.925,0.932,200,excelente
estas,0.7465,0.795,0.77,200,bueno
estos,0.8359,0.815,0.8253,200,excelente
están,0.8488,0.87,0.8593,200,excelente
forma,0.9372,0.97,0.9533,200,excelente
fueron,0.9289,0.915,0.9219,200,excelente
hasta,0.9196,0.915,0.9173,200,excelente
luego,0.945,0.945,0.945,200,excelente
mayor,0.9521,0.895,0.9227,200,excelente
mismo,0.95,0.95,0.95,200,excelente
nombre,0.9583,0.92,0.9388,200,excelente
nueve,0.9439,0.925,0.9343,200,excelente
otros,0.8301,0.855,0.8424,200,excelente
parte,0.9453,0.95,0.9476,200,excelente
primera,0.9694,0.95,0.9596,200,excelente
puede,0.9104,0.915,0.9127,200,excelente
siete,0.9455,0.955,0.9502,200,excelente
sobre,0.9444,0.935,0.9397,200,excelente
tiempo,0.9785,0.91,0.943,200,excelente
tiene,0.9583,0.92,0.9388,200,excelente
todos,0.9069,0.925,0.9158,200,excelente
universidad,0.9848,0.97,0.9773,200,excelente
varios,0.9255,0.87,0.8969,200,excelente
